test,rad,%,MFCS_forb,MFCS_scat,MFCS_time,TGV_forb,TGV_scat,TGV_time,TGV2_forb,TGV2_scat,TGV2_time,tree_forb,tree_scat,tree_time,tree_shrink_forb,tree_shrink_scat,tree_shrink_time,ldit_forb,ldit_scat,ldit_time,ldpow_forb,ldpow_scat,ldpow_time,TGV3_forb,TGV3_scat,TGV3_time
small/planar302.txtg,4,20,40,41,0:00.01,4,3,0:00.05,4,3,0:00.05,0,5,0:00.01,0,5,0:00.00,0,5,0:00.00,0,6,0:00.02,0,6,0:00.63
small/planar350.txtg,4,100,113,158,0:00.01,2,6,0:00.07,3,7,0:00.07,0,10,0:00.01,0,10,0:00.01,0,11,0:00.01,0,13,0:00.04,0,13,0:03.68
small/planar350.txtg,4,20,43,47,0:00.00,4,4,0:00.05,1,7,0:00.05,0,6,0:00.00,0,6,0:00.00,0,6,0:00.01,0,7,0:00.02,0,7,0:00.76
small/planar400.txtg,4,100,131,191,0:00.01,7,9,0:00.07,7,9,0:00.07,0,18,0:00.01,0,18,0:00.00,0,21,0:00.00,0,21,0:00.05,0,21,0:05.15
small/planar400.txtg,4,20,47,59,0:00.00,4,5,0:00.06,0,5,0:00.06,0,8,0:00.00,0,8,0:00.00,0,10,0:00.00,0,11,0:00.02,0,11,0:00.97
small/planar500.txtg,4,100,119,232,0:00.01,7,9,0:00.08,0,9,0:00.06,0,22,0:00.01,0,22,0:00.01,0,24,0:00.01,0,32,0:00.05,0,32,0:09.66
small/planar500.txtg,4,20,43,57,0:00.00,0,2,0:00.06,0,3,0:00.05,0,11,0:00.00,0,11,0:00.00,0,12,0:00.00,0,12,0:00.01,0,12,0:01.24
small/planar600.txtg,4,100,125,268,0:00.02,0,14,0:00.07,0,27,0:00.06,0,49,0:00.01,0,49,0:00.01,0,49,0:00.01,0,56,0:00.05,0,56,0:19.06
small/planar600.txtg,4,20,45,80,0:00.01,0,6,0:00.06,0,15,0:00.04,0,20,0:00.00,0,20,0:00.00,0,21,0:00.00,0,25,0:00.01,0,25,0:02.44
small/polbooks.txtg,4,100,45,34,0:00.00,0,2,0:00.06,0,2,0:00.06,0,2,0:00.01,0,2,0:00.00,0,2,0:00.00,0,2,0:00.01,0,2,0:00.73
small/polbooks.txtg,4,20,23,10,0:00.00,5,3,0:00.05,5,3,0:00.06,0,2,0:00.00,0,2,0:00.00,0,2,0:00.00,0,2,0:00.01,0,2,0:00.23
small/word_adjacencies.txtg,4,100,48,42,0:00.00,10,3,0:00.11,6,3,0:00.11,0,3,0:00.00,0,3,0:00.00,0,3,0:00.00,0,3,0:00.02,0,3,0:01.53
small/word_adjacencies.txtg,4,20,25,10,0:00.00,1,2,0:00.08,1,2,0:00.08,0,1,0:00.00,0,1,0:00.00,0,1,0:00.00,1,2,0:00.01,1,2,0:00.38
small/bergen.txtg,5,100,23,22,0:00.00,3,5,0:00.03,3,5,0:00.03,0,1,0:00.00,0,1,0:00.00,0,1,0:00.00,0,1,0:00.01,14,10,0:00.35
small/bergen.txtg,5,20,17,8,0:00.00,4,3,0:00.02,4,3,0:00.02,0,1,0:00.00,0,1,0:00.00,0,1,0:00.00,0,1,0:00.00,14,4,0:00.11
small/dolphins.txtg,5,100,23,19,0:00.00,2,4,0:00.03,2,4,0:00.03,0,2,0:00.00,0,2,0:00.00,0,2,0:00.00,4,6,0:00.01,4,6,0:00.29
small/dolphins.txtg,5,20,16,9,0:00.00,1,2,0:00.02,1,2,0:00.02,0,1,0:00.00,0,1,0:00.00,0,2,0:00.00,0,2,0:00.01,0,2,0:00.08
small/football.txtg,5,100,67,12,0:00.00,0,1,0:00.42,0,1,0:00.42,0,1,0:00.00,0,1,0:00.00,0,1,0:00.00,0,1,0:00.02,0,1,0:05.05
small/football.txtg,5,20,50,6,0:00.00,19,2,0:00.38,19,2,0:00.38,0,1,0:00.00,0,1,0:00.00,0,1,0:00.00,0,1,0:00.01,0,1,0:01.73
small/fvs002.txtg,5,100,67,121,0:00.01,0,10,0:00.06,0,25,0:00.05,0,31,0:00.00,0,31,0:00.00,0,35,0:00.01,0,39,0:00.03,0,39,0:05.67
small/fvs002.txtg,5,20,24,37,0:00.01,0,9,0:00.05,0,19,0:00.05,0,21,0:00.00,0,21,0:00.00,0,22,0:00.00,0,25,0:00.02,0,25,0:01.17
small/fvs020.txtg,5,100,6,14,0:00.00,0,4,0:00.01,0,5,0:00.01,0,5,0:00.00,0,5,0:00.00,0,6,0:00.00,0,7,0:00.00,0,7,0:00.11
